"Item","Description","Quantity","Notes"
"DC Motors","Drive motors (6V 750RPM)","4","Main drive motors"
"Wheels","Aluminum wheels with soft silicone","2","Compatible with DC motors"
"ESP32 Dev Board","ESP32-DevKitC development board","1","Main microcontroller, handles control logic"
"VL53L0X ToF Sensors","Time-of-Flight distance sensors","5","Used for obstacle detection / sensing"
"Cytron MDD3A Motor Driver","Dual channel 3A motor driver","1","Controls DC motors with PWM"
"18650 Lithium Batteries","3.6V 18650 Li-ion cells","2","Main power source"
"Battery Holder","2x18650 battery holder with DC plug","1","Holds and powers the system"
"Female Pin Headers 1x6","2.54mm female headers","6","For sensor and board connections"
"Female Pin Headers 1x20","2.54mm female headers","2","For ESP32 and PCB connections"
"Custom PCB","Manufactured PCB (PCBWay)","5","Main circuit boards"
